course_code	course_name	course_name_cn
ACCT2003	PRINCIPLES OF ACCOUNTING I	会计学原理一
ACCT2013	PRINCIPLES OF ACCOUNTING II	会计学原理二
ACCT2033	INTRODUCTION TO FINANCIAL	财务学原理
ACCT2043	PRINCIPLES OF ACCOUNTING I	会计学原理一
ACCT2053	PRINCIPLES OF ACCOUNTING II	会计学原理二
ACCT2063	FUNDAMENTAL ACCOUNTING PRINCIPLES	会计学基本原理
ACCT3003	COST AND MANAGEMENT ACCOUNTING I	成本与管理会计一
ACCT3013	COST AND MANAGEMENT ACCOUNTING II	成本与管理会计二
ACCT3023	HONG KONG TAXATION	香港税务
ACCT3033	INTERMEDIATE ACCOUNTING I	中级会计一
ACCT3043	INTERMEDIATE ACCOUNTING II	中级会计二
ACCT3053	CORPORATE GOVERNANCE AND ACCOUNTING	公司治理与会计
ACCT3063	TAX PLANNING AND MANAGEMENT	税务筹划与管理
ACCT3073	COST AND MANAGEMENT ACCOUNTING	成本与管理会计
ACCT3083	CHINESE TAXATION LAW	中国税法
ACCT3093	CHINESE ECONOMIC LAW	中国经济法
ACCT4003	AUDITING I	审计一
ACCT4013	AUDITING II	审计二
ACCT4023	FINANCIAL ACCOUNTING THEORY	财务会计理论
ACCT4033	ACCOUNTING INFORMATION SYSTEMS	会计信息系统
ACCT4043	ADVANCED ACCOUNTING I	高级会计一
ACCT4053	ADVANCED ACCOUNTING II	高级会计二
ACCT4063	ACCOUNTING INTERNSHIP	会计实习
ACCT4073	ACCOUNTING INFORMATION SYSTEMS	会计信息系统
AI1003	PYTHON PROGRAMMING	Python编程
AI1013	OBJECT-ORIENTED PROGRAMMING	面向对象编程
AI1023	DATABASE MANAGEMENT SYSTEMS	数据库管理系统
AI1033	INTRODUCTION TO COMPUTER SYSTEMS	计算机系统导论
AI2003	DATA STRUCTURES AND ALGORITHM ANALYSIS	数据结构与算法分析
AI2013	INTRODUCTION TO ARTIFICIAL INTELLIGENCE	人工智能导论
AI2023	ARTIFICIAL INTELLIGENCE WORKSHOP	人工智能工作坊
AI2033	PROBABILITY AND STATISTICS	概率论与数理统计
AI2043	OPERATING SYSTEMS	操作系统
AI2053	INTRODUCTION TO COGNITIVE SCIENCE	认知科学导论
AI2063	GAME THEORY	博弈论
AI2073	PERCEPTION	感知
AI3003	NEURAL NETWORKS AND DEEP LEARNING	神经网络与深度学习
AI3013	MACHINE LEARNING	机器学习
AI3023	MACHINE LEARNING WORKSHOP	机器学习工作坊
AI3033	INTRODUCTION TO ROBOTICS	机器人学导论
AI3043	BAYESIAN NETWORKS	贝叶斯网络
AI3053	INTELLIGENT AGENT TECHNOLOGY	智能代理技术
AI3063	NEUROSCIENCE IN ARTIFICIAL INTELLIGENCE	人工智能中的神经科学
AI3073	INTRODUCTION TO BIOINFORMATICS	生物信息学导论
AI3083	ARTIFICIAL INTELLIGENCE PROJECT	人工智能项目
AI3093	DECISION THEORY	决策论
AI3103	REGRESSION ANALYSIS	回归分析
AI3113	SPEECH PROCESSING AND RECOGNITION	语音处理与识别
AI3123	DIGITAL IMAGE PROCESSING	数字图像处理
AI3133	NATURAL LANGUAGE PROCESSING	自然语言处理
AI3143	COMPUTER VISION	计算机视觉
AI3153	HUMAN-COMPUTER INTERACTION	人机交互
AI4003	OPTIMIZATION FOR MACHINE LEARNING	机器学习优化
AI4004	FINAL YEAR PROJECT I (AI)	毕业设计一（AI）
AI4005	FINAL YEAR PROJECT II (AI)	毕业设计二（AI）
AI4013	KNOWLEDGE GRAPH ENGINEERING	知识图谱工程
AI4023	DEEP REINFORCEMENT LEARNING	深度强化学习
AI4033	LARGE-SCALE DISTRIBUTED MULTI-AGENT SYSTEMS	大规模分布式多智能体系统
AI4043	ARTIFICIAL INTELLIGENCE INTERNSHIP	人工智能实习
AI4053	FINTECH	金融科技
AI4063	PATTERN RECOGNITION	模式识别
AI4083	MULTIMEDIA MINING AND ANALYTICS	多媒体挖掘与分析
AI4093	DESIGN AND IMPLEMENTATION OF INTELLIGENT VISION SYSTEM	智能视觉系统的设计与实现
AIM2003	FUNDAMENTALS OF COMPUTER GRAPHICS	计算机图形学基础
AIM2013	VISUAL COMMUNICATION	视觉传达
AIM2023	SCRIPTWRITING FOR ANIMATION	动画编剧
AIM2033	FUNDAMENTALS OF DIGITAL ILLUSTRATION	数字插画基础
AIM3003	CHARACTER ANIMATION	角色动画
AIM3013	SCENERY DESIGN	场景设计
AIM3023	INTERACTIVE GRAPHICS	交互式图形
AIM3033	INTERACTIVE MEDIA WORKSHOP	交互媒体工作坊
AIM3043	3D MODELLING	三维建模
AIM3053	MULTIMEDIA STORYTELLING	多媒体故事讲述
AIM3063	3D ANIMATION	三维动画
AIM3073	ANIMATION SOUND DESIGN AND MIXING	动画声音设计与混音
AIM3083	2D COMPUTER ANIMATION	二维计算机动画
AIM3093	DIGITAL CULTURES AND VISUAL THINKING	数字文化与视觉思维
AIM3103	JAPANESE ANIMATION	日本动画
AIM3113	CHARACTER DESIGN AND STORYBOARD MAKING	角色设计与故事板制作
AIM3123	INTERACTIVE VIDEO PRODUCTION	交互式视频制作
AIM3133	HISTORY OF ANIMATION	动画史
AIM3143	SPECIAL TOPICS IN ANIMATION AND INTERACTIVE MEDIA SUBJECTS	动画与互动媒体专题
AIM3153	GAME ART AND ANIMATION	游戏美术与动画
AIM3163	ADVANCED DIGITAL ILLUSTRATION	高级数字插画
AIM3173	MOBILE MEDIA GAME DEVELOPMENT	移动媒体游戏开发
AIM4003	PRODUCTION METHODS	制作方法
AIM4023	INTERACTIVE MEDIA ARTS: ORIGINS TO THE PRESENT	互动媒体艺术：从起源到当代
AIM4033	FINAL YEAR PROJECT I (AIM)	毕业设计一（AIM）
AIM4043	FINAL YEAR PROJECT II (AIM)	毕业设计二（AIM）
AIM4053	ADVANCED INTERACTIVE MEDIA WORKSHOP	高级互动媒体工作坊
AIM4063	STOP-MOTION ANIMATION	定格动画
AIM4073	VIRTUAL AND AUGMENTED REALITY ART	虚拟与增强现实艺术
AIM4083	ANIMATION AND INTERACTIVE MEDIA INTERNSHIP	动画与互动媒体实习
AIM4093	SPECIAL TOPICS IN ANIMATION AND INTERACTIVE MEDIA STUDIES	动画与互动媒体研究专题
AIM4103	STUDIES IN OPERATION AND MANAGEMENT OF ANIMATION INDUSTRY	动画产业运营与管理研究
AIM4113	DIGITAL MEDIA PROJECT MANAGEMENT	数字媒体项目管理
BA1003	DATABASE MANAGEMENT AND APPLICATIONS	数据库管理与应用
BA2003	ARTIFICIAL INTELLIGENCE AND DEEP LEARNING	人工智能与深度学习
BA2013	DATA MINING WITH BIG DATA	大数据数据挖掘
BA2023	OPERATIONS RESEARCH	运筹学研究
BA2033	OPTIMIZATION METHODS	优化方法
BA2043	R LANGUAGE FOR STATISTICS	统计学R语言
BA3013	CUSTOMER BEHAVIOURS AND PSYCHOLOGY	客户行为与心理学
BA3023	DATA ANALYSIS AND FINTECH FUNDAMENTALS	数据分析与金融科技基础
BA3033	DATA ANALYSIS IN NEW MEDIA	新媒体中的数据分析
BA3043	DATA VISUALIZATION	数据可视化
BA3053	ETHICAL ISSUES ON BUSINESS ANALYTICS	商业分析中的伦理问题
BA3063	GLOBAL OPERATIONS MANAGEMENT	全球运营管理
BA3073	MOBILE AND CLOUD COMPUTING	移动与云计算
BA3083	MULTIPLE CRITERIA DECISION MAKING	多准则决策
BA3093	SIMULATION AND RISK ANALYSIS	模拟与风险分析
BA3103	STATISTICAL REASONING FOR BUSINESS DECISIONS	商业决策的统计推理
BA3113	SUPPLY CHAIN MANAGEMENT AND LOGISTICS	供应链管理与物流
BA3123	TEXT MINING IN BUSINESS	商业中的文本挖掘
BA4003	BUSINESS ANALYSIS RESEARCH SEMINAR	商业分析研究研讨会
BA4013	BUSINESS ANALYTICS INTERNSHIP	商业分析实习
BA4023	"DECISION BEHAVIOR, ANALYSIS, AND SUPPORT"	决策行为、分析与支持
BA4033	KNOWLEDGE MANAGEMENT AND DIGITALIZATION	知识管理与数字化
BA4043	SOCIAL MEDIA AND DIGITAL MARKETING	社交媒体与数字营销
BIOL1003	INTRODUCTION TO WORLD ECOLOGICAL PROBLEMS AND MAN	世界生态问题与人类导论
BIOL1013	BIODIVERSITY AND THE EXTINCTION CRISIS	生物多样性与灭绝危机
BIOL1023	DIVERSITY OF LIFE AND LABORATORY	生命多样性和实验室
BIOL2003	GENERAL BIOLOGY	普通生物学
BIOL2013	GENERAL BIOLOGY AND CHEMISTRY LABORATORY	普通生物学与化学实验室
BIOL2023	CONSERVATION ECOLOGY	保护生态学
